B1,B2,B3,B4,B5,B6,B7,vis,white,class
163,572,226,23,4,203,96,961,32329.55555555555,0
148,527,187,23,24,189,153,862,28973.55555555555,0
148,527,187,23,24,189,153,862,28973.55555555555,0
124,473,149,28,13,225,114,746,25266.888888888887,0
130,475,149,41,51,220,179,754,25073.55555555556,0
130,475,149,41,51,220,179,754,25073.55555555556,0
113,421,125,45,37,239,131,659,20291.555555555555,0
108,404,115,47,41,236,125,627,19020.666666666668,0
76,341,94,39,44,226,172,511,14617.555555555557,0
76,341,94,39,44,226,172,511,14617.555555555557,0
82,351,95,40,30,235,123,528,15340.666666666666,0
82,351,95,40,30,235,123,528,15340.666666666666,0
69,327,97,35,60,222,176,493,13360.88888888889,0
76,364,101,38,24,231,140,541,16970.888888888887,0
76,364,101,38,24,231,140,541,16970.888888888887,0
89,347,97,25,33,219,162,533,14347.555555555555,0
89,347,97,25,33,219,162,533,14347.555555555555,0
48,289,81,30,22,234,141,418,11381.555555555557,0
48,289,81,30,22,234,141,418,11381.555555555557,0
-53,99,18,3,1,198,139,64,3856.222222222222,0
-53,99,18,3,1,198,139,64,3856.222222222222,0
-70,67,-2,1,-11,210,104,-5,3128.222222222222,0
-70,67,-2,1,-11,210,104,-5,3128.222222222222,0
-42,85,16,7,5,205,153,59,2694.8888888888887,0
-100,55,-9,-1,15,189,147,-54,4044.6666666666665,0
-91,37,-10,-8,-5,199,106,-64,2794.888888888889,0
-100,60,-1,-1,-11,217,125,-41,4346.88888888889,0
-50,98,21,0,17,208,161,69,3652.6666666666665,0
-100,157,22,-7,19,204,168,79,11017.555555555555,0
-49,134,24,0,-2,212,131,109,5657.555555555555,0
-100,112,17,8,-4,241,147,29,7517.555555555556,0
-100,98,22,12,44,224,174,20,6651.555555555555,0
-100,98,22,12,44,224,174,20,6651.555555555555,0
-100,45,-9,1,-17,228,127,-64,3580.222222222222,0
-80,46,-7,-1,5,207,166,-41,2668.2222222222217,0
-100,63,-2,0,13,211,171,-39,4488.666666666667,0
-69,79,14,6,14,228,137,24,3668.6666666666665,0
-100,61,7,-1,-10,243,144,-32,4476.222222222222,0
243,715,354,33,-25,179,62,1312,40602.88888888889,0
190,664,300,-3,4,148,120,1154,41030.222222222226,0
190,664,300,-3,4,148,120,1154,41030.222222222226,0
196,674,311,8,-13,182,86,1181,41497.555555555555,0
196,674,311,8,-13,182,86,1181,41497.555555555555,0
235,709,340,27,25,179,140,1284,41318.0,0
186,649,283,28,-2,208,100,1118,39748.22222222222,0
186,649,283,28,-2,208,100,1118,39748.22222222222,0
127,482,171,36,38,195,152,780,24964.666666666668,0
127,482,171,36,38,195,152,780,24964.666666666668,0
163,572,226,23,4,203,96,961,32329.55555555555,0
163,572,226,23,4,203,96,961,32329.55555555555,0
137,492,182,35,30,196,158,811,24905.55555555556,0
137,492,182,35,30,196,158,811,24905.55555555556,0
104,440,142,32,21,222,103,686,22571.55555555555,0
104,440,142,32,21,222,103,686,22571.55555555555,0
119,450,144,49,57,218,196,713,22646.888888888887,0
113,421,125,45,37,239,131,659,20291.555555555555,0
113,421,125,45,37,239,131,659,20291.555555555555,0
77,355,98,35,45,220,159,530,15974.88888888889,0
77,355,98,35,45,220,159,530,15974.88888888889,0
79,368,99,41,39,242,141,546,17364.666666666668,0
79,368,99,41,39,242,141,546,17364.666666666668,0
69,327,97,35,60,222,176,493,13360.88888888889,0
58,312,86,38,31,233,132,456,12930.666666666666,0
58,312,86,38,31,233,132,456,12930.666666666666,0
41,300,82,23,37,213,160,423,12920.666666666666,0
41,300,82,23,37,213,160,423,12920.666666666666,0
48,289,81,30,22,234,141,418,11381.555555555557,0
48,289,81,30,22,234,141,418,11381.555555555557,0
-13,195,55,17,29,219,175,237,7498.666666666667,0
-13,195,55,17,29,219,175,237,7498.666666666667,0
-61,95,17,8,6,221,133,51,4056.0,0
-61,95,17,8,6,221,133,51,4056.0,0
-42,85,16,7,5,205,153,59,2694.8888888888887,0
-77,53,2,-2,-8,213,107,-22,2860.2222222222226,0
-77,53,2,-2,-8,213,107,-22,2860.2222222222226,0
-44,117,24,3,16,194,148,97,4354.88888888889,0
-44,117,24,3,16,194,148,97,4354.88888888889,0
-26,153,23,-4,-5,210,121,150,5704.666666666667,0
-100,135,12,-14,-29,223,117,47,9210.888888888889,0
-100,135,12,-14,-29,223,117,47,9210.888888888889,0
-100,141,33,2,25,218,183,74,9714.888888888889,0
-61,100,21,7,-12,231,134,60,4320.666666666667,0
-61,100,21,7,-12,231,134,60,4320.666666666667,0
-51,52,0,-7,2,205,153,1,1768.2222222222224,0
-100,63,-2,0,13,211,171,-39,4488.666666666667,0
43,626,306,4,-20,175,58,975,56828.666666666664,0
265,756,398,45,36,148,133,1419,42992.666666666664,0
229,723,364,47,2,200,85,1316,43460.222222222226,0
229,723,364,47,2,200,85,1316,43460.222222222226,0
209,702,336,24,23,151,141,1247,43681.555555555555,0
209,702,336,24,23,151,141,1247,43681.555555555555,0
196,674,311,8,-13,182,86,1181,41497.555555555555,0
193,646,263,27,32,184,144,1102,39644.222222222226,0
193,646,263,27,32,184,144,1102,39644.222222222226,0
114,512,185,31,15,215,112,811,30041.55555555556,0
114,512,185,31,15,215,112,811,30041.55555555556,0
64,372,104,30,50,187,162,540,18698.666666666668,0
64,372,104,30,50,187,162,540,18698.666666666668,0
29,333,98,27,28,218,127,460,16933.55555555556,0
29,333,98,27,28,218,127,460,16933.55555555556,0
68,362,102,30,39,201,159,532,17243.555555555555,0
68,362,102,30,39,201,159,532,17243.555555555555,0
66,371,109,20,24,220,123,546,18168.666666666668,0
119,450,144,49,57,218,196,713,22646.888888888887,0
119,450,144,49,57,218,196,713,22646.888888888887,0
95,411,119,47,49,235,122,625,20632.888888888887,0
95,411,119,47,49,235,122,625,20632.888888888887,0
70,363,96,42,44,220,181,529,17534.888888888887,0
70,363,96,42,44,220,181,529,17534.888888888887,0
79,368,99,41,39,242,141,546,17364.666666666668,0
45,316,75,35,52,226,171,436,14713.555555555557,0
45,316,75,35,52,226,171,436,14713.555555555557,0
29,283,66,30,35,231,128,378,12552.666666666666,0
29,283,66,30,35,231,128,378,12552.666666666666,0
41,300,82,23,37,213,160,423,12920.666666666666,0
41,300,82,23,37,213,160,423,12920.666666666666,0
14,278,71,21,7,222,114,363,12866.0,0
14,278,71,21,7,222,114,363,12866.0,0
-11,226,59,15,32,210,162,274,9884.222222222224,0
-11,226,59,15,32,210,162,274,9884.222222222224,0
